Book Title,Final Answer
"어쩌다, 책쓰기","책 제목 : 어쩌다, 책쓰기
저자 : 이지선
출판사 : 바른북스
출판일 : 2025년 1월 24일
ISBN : 9791172639396
설명 : 2024년을 살아가는 중학생 특유의 문학적 감수성과 섬세함을 발휘한 시와 가상 속 세계에서 마음껏 펼친 이야기를 소설로 엮었다. 10대 시절 충분히 공감할 수 있는 이야기가 진솔하게 드러나 있으며, 중학생들의 고민과 성찰을 담은 책입니다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263109/52631097084.20250123163915.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52631097084"
고양이를 처방해 드립니다 1(큰글자도서),"책 제목 : 고양이를 처방해 드립니다 1(큰글자도서)
저자 : 이시다 쇼
출판사 : 다산책방
출판일 : 2025년 01월 24일
ISBN : 9791130661780
설명 : 일본을 넘어 전 세계 독자를 감동 시키고 있는 힐링 소설 『고양이를 처방해 드립니다』가 드디어 국내에 상륙했다. 포스터, 광고 등 다양한 분야에서 동물 그림 전문가로 인정받고 있는 작가 윤예지의 귀엽고 산뜻한 고양이 일러스트레이션이 표지로 더해져 소설이 지닌 사랑스러움을 더욱 충만하게 만들어준다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5264413/52644130000.20250124095847.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52644130000"
어두울 때에야 보이는 것들이 있습니다(큰글자도서),"책 제목 : 어두울 때에야 보이는 것들이 있습니다(큰글자도서) (슈테판 츠바이크의 마지막 수업)
저자 : 스테판 츠바이크
출판사 : 다산초당
출판일 : 2025-01-24
ISBN : 979-11-3066-192-6
설명 : 작가들의 작가 슈테판 츠바이크가 스스로 목숨을 끊기 전 남긴 마지막 ‘미공개’ 에세이로, 독일 나치를 피해 브라질로 망명을 떠난 시절에 남긴 기록이며 지금껏 대중에 공개되지 않은 이야기가 담겨 있다. 
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286838.20250124095744.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286838"
글로벌 스마트제조·팩토리 기술 개발 동향과 사업화전략,"책 제목 : AI자율제조로 진화하는, 2025년 글로벌 스마트제조 · 팩토리 기술 개발 동향과 사업화전략
저자 : 씨에치오 얼라이언스 편집부
출판사 : 씨에치오얼라이언스(CHO Alliance)
출판일 : 2025.01.24
ISBN : 9791193250174
설명 : AIX와 DX 대전환 시대 제조업 혁신의 중심에 있는 스마트 제조, 스마트 팩토리 관련 기술 및 시장 동향과 주요국 정부와 기업들의 대응 전략 등을 종합적으로 정리 분석한 책입니다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5264830/52648306171.20250125071304.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52648306171"
가족 제도의 새로운 의미를 찾아서,"책 제목 : 가족 제도의 새로운 의미를 찾아서
저자 : 고재백, 김순영, 박유미
출판사 : 한국학술정보
출판일 : 2025-01-24
ISBN : 979-11-7318-184-9
설명 : 본서는 2024년 한 해 동안 비블로스성경인문학연구소의 연구위원들이 진행하였던 세미나 〈기독교와 가족 제도〉의 결과물이다. 필자들은 전통적인 가족 이데올로기에 대한 집착으로 급변하는 현대 가족 제도의 현실을 제대로 파악하지 못하고 있는 한국 사회의 모순에 집중하였고, 이러한 현실 인식은 현재의 변화를 정면으로 거부한 채 기존의 가족 제도로 담아낼 수 없는 새로운 가족 양식에 대한 차별과 혐오를 종교적으로 정당화하는 한국교회의 잘못에 대한 비판으로 이어졌다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5264830/52648306229.20250124140313.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52648306229"
문해력 쑥쑥: 어휘편 3,"책 제목 : 문해력 쑥쑥: 어휘편 3 (한자와 영어 어휘를 동시에 익히는)
저자 : 신영환, 정고을
출판사 : 헤르몬하우스
출판일 : 2025-01-24
ISBN : 9791194085331
설명 : 이 책은 한자어(360개)와 한자 성어(270개)를 제시하고 있으며, 한자 학습을 하면서 한글과 영어를 함께 익힐 수 있도록 구성되어 한자, 영어, 우리말을 동시에 배울 수 있는 1석 3조의 효과를 얻을 수 있습니다. 
섬네일 링크 : https://shopping-phinf.pstatic.net/main_32463314/32463314180.20231018085802.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/32463314180"
"예비군법: 법령, 시행령, 시행규칙","책 제목 : 예비군법: 법령, 시행령, 시행규칙
저자 : 해광 편집부
출판사 : 해광
출판일 : 2025.01.24
ISBN : 9791168817692
설명 : 이 책은 방대한 법전을 보지 않고 간편하게 해당되는 법령만 참고해서 볼 수 있도록 하였다. 공공기관이나 관련 종사자들이 쉽고 간편하게 해당 법령을 참조 할 수 있도록 하였다. 특히 해당법률은 물론 관련 시행령, 시행규칙을 함께 실어 관련법을 서로 참고할 수 있게 하였다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5264413/52644130024.20250125071243.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52644130024"
보보스(큰글자도서),"책 제목 : 보보스 (큰글자도서) (부르주아이자 보헤미안인 사람들)
저자 : 데이비드 브룩스
출판사 : 데이원
출판일 : 2025년 1월 24일
ISBN : 9791173350344
설명 : “부자들을 이해하려면 반드시 읽어 보라.”_[세이노의 가르침] 중에서 보보스. 부르주아와 보헤미안의 합성어로 데이비드 브룩스가 그의 저서 [보보스]에서 처음 사용한 말이다. ‘보보스’는 자본을 사랑하는 부르주아와 자유를 사랑하는 보헤미안의 정신을 모두 지닌 사람들을 그려낸 책이다. 절대로 섞이지 못할 것 같았던 두 문화의 차이와 갈등, 그리고 놀라운 융화의 현장을 흥미진진하게 담았다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286968.20250123185614.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286968"
글쓰기의 힘(큰글자도서),"책 제목 : 글쓰기의 힘(큰글자도서) (읽지 않는 시대에 글을 써야 하는 이유)
저자 : 사이토 다카시
출판사 : 데이원
출판일 : 2025년 01월 24일
ISBN : 9791173350238
설명 : 누적 판매 부수 1000만 부에 달하는 베스트셀러 작가이자 다작의 아이콘, 사이토 다카시와 함께하는 글쓰기 트레이닝! 이 책은 쓰는 힘이 어떤 능력을 길러 줄 수 있는지, 그리고 어떤 글을 어떻게 써야 하는지까지 구체적이고 확실하게 알려 줍니다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286832.20250124095859.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286832"
문해력 쑥쑥: 어휘편 2,"책 제목 : 문해력 쑥쑥: 어휘편 2 (한자와 영어 어휘를 동시에 익히는)
저자 : 신영환, 정고을
출판사 : 헤르몬하우스
출판일 : 2025-01-24
ISBN : 9791194085324
설명 : 이 책은 한자어(360개)와 한자 성어(270개)를 제시하고 있으며, 한자 학습을 하면서 한글과 영어를 함께 익힐 수 있도록 구성되어 한자, 영어, 우리말을 동시에 배울 수 있는 1석 3조의 효과를 얻을 수 있습니다. 
섬네일 링크 : https://shopping-phinf.pstatic.net/main_32463314/32463314132.20231018093747.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/32463314132"
